Icon,Name,Package,Privileged
https://lh3.googleusercontent.com/xBFTJQCPqUh0i97AwiPo-tPBndyn9GWwAqeoxPgKEPLdFcCaRsqcBpr6SC4uYgJ6Ew=s180,com.google.android.marvin.talkback,"Android Accessibility Suite",Tools
https://lh3.googleusercontent.com/drnkC46hMwqPTdRLLLufhKgy_dRhA7uNTN14-tq2NxtI3deDakYOAR_4zeHcqbGg4Q=s180,com.google.android.projection.gearhead,"Android Auto - Google Maps, Media & Messaging",Auto & Vehicles
https://lh3.googleusercontent.com/yv2FTUK7eKV9ZEvdIiMjmruq42wu2cgCgkygTeqkZGn_Y50MEaqlTx3tlYmTvVuo9mY=s180,com.google.android.apps.work.clouddpc,"Android Device Policy",Tools
https://lh3.googleusercontent.com/yCUF0e8C0ql5wmCQC_oaQWA7V5YD8UawFXATiC9j90hj5mnEFzLenuYTc7L7I7p5Ww=s180,com.google.android.webview,"Android System WebView",Tools
